event
Baratha Nattyam 
Kuchuppudi 
Kerala Nadanam 
Lalitha Ganam 
Monoact 
Mohiniyaattam 
Mimicry 
Resitation Malayalam 
Resitation English 
Resitation Hindi
Thiruvathira 
Oppana 
Group Song 
kolkkali 
Natakam 
Margam Kali 
Group Dance 
Nadanpaattu 
Band 
Duff 
Yaksha Ganam 
Vanchipatt
Poem Writing(Malayalam)
Poem Writing(English) 
Poem Writing(Hindi) 
Essay Writing(Malayalam) 
Essay Writing(English) 
Oil painting 
Pencil drawing
